word,lookups,usage,book,authors
onnozel,9,"In de entree voelde ze zich plotseling wat verloren, als een onnozel kind. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
onnozel,9,"Cato in haar moeders buik, waarschijnlijk zonder glimlach, want daar was ze natuurlijk nog veel te onnozel voor. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
onnozel,9,"Dat klinkt misschien onnozel om zo te zeggen, maar ik doe het toch. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onnozel,9,Is dat niet onnozel? ,Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onnozel,9,Ik ga daar niet onnozel over doen: ik heb mij in het verleden wel eens laten verleiden tot een wilde nacht. ,Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onnozel,9,"Hij spreekt in jij en jous, wat ik een beetje onnozel vind. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onnozel,9,"En ik ga niet onnozel doen, dat speelt mee. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onnozel,9,"Walter levert onnozel commentaar, tot jolijt van Jack. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onnozel,9,"Hij noemt het zijn legendárische spaghetti, wat wel wat onnozel is. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
rand,7,"Ze zat aan de rand van het Florapark, bij het Noord-Hollands Kanaal. ",Lieve Céline (Dutch Edition),"Bervoets, Hanna"
rand,7,Toch klotste de cola over de rand. ,Lieve Céline (Dutch Edition),"Bervoets, Hanna"
rand,7,"Zoals die keer dat ze aan een pak melk rook dat drie weken achter de verwarming in de gang op school had gelegen en haar wang had moeten laten hechten, omdat ze tegen de rand van de verwarming was flauwgevallen van de stank. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
rand,7,"Cato gaf geen kik meer, ze stapte als een geharde tijdreis-veteraan met mevrouw Kano het scherm in en stond toen aan de rand van het weiland. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
rand,7,"Vijf dingen waar ik vrolijk van word: 1 onbekende mensen die naar mij lachen, 2 ‘Feel the love generation’, dat liedje van Bob Sinclar dat Eva zo graag hoort, wij kunnen daar samen vet goed op dansen, 3 grappige openingszinnen in een boek (‘Aan de rand van het bos, niet ver van de rivier, tussen het struikgewas, had de sprinkhaan een winkel. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
rand,7,"‘Hij was op de rand gekropen, en toen is hij er langs de foute kant afgedonderd,’ zegt Lou, die het heeft zien gebeuren. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
rand,7,"Ik kocht een plastic beker die tot de rand werd gevuld met Aperol Spritz, en las The Catcher in the Rye op een houten strandstoel. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
schoot,5,"Ik ga weer zitten, trek Jack op schoot, hij wil niet. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
schoot,5,"Op die momenten zat ik niet bij mijn moeder, maar bij mijn tante op schoot, wier energie afstak tegen die van haar. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
schoot,5,"Soms lag ik met mijn hoofd op haar schoot te praten, andere keren was het andersom. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
schoot,5,"Vaak lag hij in stilte op haar schoot, en kriebelde ze over zijn hoofd. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
schoot,5,"We zaten op de bank, mijn benen lagen op zijn schoot. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
stoeien,5,Vanaf een rots in het water zag ik stelletjes op handdoeken zoenen en stoeien. ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
stoeien,5,Mijn ex-vrouw groeide op met twee stoere broers die van stoeien hielden. ,De getemde man,Babah Tarawally
stoeien,5,Dit deden we al vanaf het begin van onze relatie dus het stoeien met mij en haar broers beschouwde ik als iets normaals. ,De getemde man,Babah Tarawally
stoeien,5,"Mijn ex en de buurman begonnen te stoeien, de buurman tilde haar op, legde haar over zijn schouder en sloeg een paar keer op haar billen. ",De getemde man,Babah Tarawally
stoeien,5,"Ik dacht aan mijn jeugdliefde Zainab, zij hield ervan om met me te stoeien voordat we daadwerkelijk aan seks begonnen. ",De getemde man,Babah Tarawally
straalt,5,"Hij kijkt, straalt, en herhaalt: ‘Zo’n mooie vrouw, jij, met je donkere haren en je wulpse borsten, en wat een prachtige outfit.’ ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
straalt,5,Hij straalt op dat soort momenten. ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
straalt,5,"‘Je straalt,’ had de moeder van Charlie ooit gezegd. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
straalt,5,Hij straalt als hij het over haar heeft en geeft me het gevoel dat er vrouwen bestaan die de diepste wens van een man begrijpen. ,De getemde man,Babah Tarawally
straalt,5,"En omdat hij zijn eigen lijf kan waarderen, straalt hij dit ook uit en dat is wat de buitenwereld ziet. ",De getemde man,Babah Tarawally
verdedigen,5,Ik voelde de neiging om mezelf te verdedigen en met klinkend bewijs ter tafel te komen. ,De getemde man,Babah Tarawally
verdedigen,5,Zij zouden het vast niet erg vinden om tegenover mijn moeder het werk van mijn geslacht te verdedigen. ,De getemde man,Babah Tarawally
verdedigen,5,Ik wilde me verdedigen en aangeven dat ik echt niet zonder reden huilde. ,De getemde man,Babah Tarawally
verdedigen,5,Hij houdt veel van hen en staat altijd klaar om ze te helpen en te verdedigen tegen de boze wereld. ,De getemde man,Babah Tarawally
verdedigen,5,Mannen die alle mannen verdedigen en vrouwen die het opnemen voor alle vrouwen. ,De getemde man,Babah Tarawally
kreet,4,"Ze spreidde haar armen, slaakte een kreet die dwars door de nacht galmde en verwachtte half dat ze kon vliegen. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
kreet,4,Ze hoorde door het glas haar vader een kreet slaken. ,Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
kreet,4,"Mijn moeder slaakt een kreet, Walter schiet ernaartoe, wil haar eraf halen, ik hou hem tegen. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
